TransactionID,CustomerName,Date,Time,Email,PhoneNumber,ProductName,Quantity,Price,TotalAmount,PaymentMethod,ShippingAddress,OrderStatus,CustomerFeedback,Region
T00001,Jordan Davis,2024-09-21,03:14:03,beckyritter@gmail.com,(310)263-2091x10329,Gaming Mouse,1,421.69,995.96,Cash,"994 Clark River Apt. 025, South Susantown, CA 07574",Pending,Arrived on time,South
T00002,Heather Lee,2024-04-13,16:52:41,thayes@chambers-rivers.net,728-788-1755x31093,Smartphone,3,337.23,881.37,Credit Card,"USS Kim, FPO AA 16176",Pending,Arrived on time,North West
T00003,Sean Steele,2024-08-28,18:51:28,gowen@krueger.com,180.990.1564,Laptop,4,68.32,4312.18,Cash,"57238 Thomas Fort Apt. 773, West Markville, HI 06278",Pending,Arrived on time,West Coast
T00004,Manuel Weber,2024-04-10,00:47:48,erica47@hotmail.com,(517)830-8835x27293,Gaming Mouse,4,44.54,1535.82,Cash,"091 Chen Greens Suite 878, Michelleville, MI 01139",Shipped,Packaging was damaged,South
T00005,Michael Jordan,2024-02-26,02:18:27,rogersmary@rowe.com,007-838-8658,Gaming Mouse,3,771.03,1758.13,Credit Card,"803 Estrada Isle Suite 515, Lake Deanna, ME 76612",Delivered,Arrived on time,North West
T00006,Michael Avila,2024-02-21,13:14:01,jamesvalenzuela@gmail.com,3224149363,Gaming Mouse,4,576.22,939.81,Credit Card,"Unit 1792 Box 4495, DPO AP 34465",Shipped,Satisfied,North West
T00007,Kaitlyn Davis,2024-09-21,09:49:07,jgraves@torres-hunt.com,(634)953-4197x3061,Headphones,4,608.43,2923.46,Cash,"Unit 4414 Box 9018, DPO AP 78578",Delivered,Great service,North West
T00008,Ann Thompson,2024-11-19,14:32:16,heatherrobinson@vasquez.com,166-344-6788x1821,Smartphone,4,813.73,1550.62,Credit Card,"7775 Gray Manors, West Patriciaton, NE 35875",Delivered,N/A,South
T00009,Calvin Thompson,2024-04-09,01:56:44,matthew57@kim-hughes.org,(020)317-1800,Smartphone,5,542.75,3460.93,Credit Card,"648 Jennifer Port, New Sharon, NV 96036",Shipped,Arrived on time,North West
T00010,Devin Rice,2024-08-04,21:23:08,diazjeffery@yahoo.com,(656)565-7629x90438,Laptop,5,289.85,1407.51,Online,"864 Brown Falls Apt. 004, Port Brian, DC 90038",Shipped,Great service,South
T00011,Stacy Serrano,2024-06-15,08:23:43,hpeterson@baker.com,001-982-569-3581x6828,Gaming Mouse,3,664.6,102.96,Online,"Unit 8808 Box 0393, DPO AE 41343",Pending,Packaging was damaged,North East
T00012,Theresa Carey,2024-11-10,03:42:42,wilsonkelli@yahoo.com,(463)593-2959x713,Smartwatch,2,543.42,4865.48,Credit Card,"PSC 0461, Box 2878, APO AA 27213",Delivered,Great service,North East
T00013,Robin Rose,2024-06-06,23:59:40,danielbarker@shea.org,001-132-950-3431x5248,Smartwatch,4,283.32,1595.2,Credit Card,"6848 Lane Forges Suite 836, Kruegershire, WA 89561",Shipped,Packaging was damaged,West Coast
T00014,Cheryl Barton PhD,2024-05-15,19:42:32,toddleslie@matthews-simpson.info,+1-897-010-0971x5591,Gaming Mouse,1,688.56,4284.71,Credit Card,"94400 Armstrong Ridge Suite 963, North Brittany, IN 10123",Delivered,N/A,North West
T00015,William Chan,2024-03-05,23:12:57,savageedward@yahoo.com,(589)654-9319x03199,Smartphone,3,813.12,1116.21,Credit Card,"24012 Jessica Road, North Shane, VA 42266",Pending,Arrived on time,South East
T00016,Rita Davies,2024-02-26,06:28:37,ogonzalez@hotmail.com,(791)627-3233,Laptop,3,672.48,457.81,Cash,"01069 Linda Radial Apt. 946, East Norman, WA 59765",Delivered,Packaging was damaged,South East
T00017,Stacey Jones,2024-05-13,19:37:08,gnewman@johnson-lewis.com,126.157.6153x0076,Smartphone,1,555.77,4850.04,Credit Card,"51881 Margaret Fork, Nicolemouth, GA 80481",Pending,N/A,North East
T00018,Andrea Turner,2024-06-25,22:12:16,taylordeborah@gmail.com,4030491192,Laptop,2,236.57,4756.45,Cash,"147 Leslie Land Apt. 477, Deanton, IL 32345",Shipped,Arrived on time,North East
T00019,Alicia Pena,2024-11-20,03:44:32,nicholejohnson@yahoo.com,(195)300-4624x86348,Smartwatch,3,776.11,4652.87,Online,"6357 Richardson Stream Suite 079, New Adrienne, ND 85138",Shipped,Satisfied,South East
T00020,Molly Shepherd,2024-06-13,09:53:54,tinarivera@hotmail.com,518.803.0345,Smartphone,5,149.34,3794.87,Cash,"8334 Sanchez Walk Apt. 307, Rojaston, MA 50813",Pending,Satisfied,South East
T00021,Keith Frey,2024-01-30,12:49:48,riddlemary@yahoo.com,001-945-210-9584x093,Gaming Mouse,1,716.85,3834.98,Credit Card,"4186 William Crossroad, Joshuaview, MO 12757",Delivered,Satisfied,North West
T00022,Ian Miller,2024-02-07,19:19:48,haleyterri@shea.info,001-794-802-7477,Smartwatch,4,316.07,2650.7,Cash,"48301 Jonathan Trail, Port Eric, OR 51477",Shipped,Great service,North West
T00023,Jessica Nelson,2024-05-23,23:07:17,douglasdonald@hotmail.com,001-383-692-2318x096,Smartwatch,4,731.13,665.44,Cash,"7896 Thomas Mission Suite 772, Riceport, WY 56516",Pending,Satisfied,South East
T00024,Jimmy Nichols,2024-08-07,20:11:40,feliciaking@hotmail.com,001-371-742-2171,Laptop,4,581.19,2199.7,Online,"039 Hector Plaza Suite 136, New Julia, ND 25292",Pending,N/A,South
T00025,Annette Blake,2024-07-28,09:49:10,starkdawn@hotmail.com,672-085-2933x72330,Smartwatch,2,913.68,3627.23,Credit Card,"422 Catherine Views, Danielborough, NC 34055",Delivered,Satisfied,South East
T00026,Amanda Ponce,2024-11-14,15:39:00,david97@sparks-boyle.biz,(210)783-3108x605,Smartwatch,4,791.67,3513.42,Online,"PSC 0384, Box 2414, APO AP 81805",Shipped,N/A,North East
T00027,Joshua Guzman,2024-09-29,22:20:15,pclark@hotmail.com,722-680-6183,Smartphone,4,399.71,854.57,Online,"7933 Margaret Well, New Ashley, DE 83432",Delivered,Packaging was damaged,North West
T00028,Andrew Hinton,2024-06-03,14:31:12,sean44@yahoo.com,468.987.6477,Smartwatch,4,885.49,4851.85,Cash,"216 Brian Groves, Duncanberg, OH 06195",Shipped,Great service,North East
T00029,Kristina Stout,2024-11-07,22:47:26,deanna68@smith.com,797-829-0643x33946,Gaming Mouse,5,606.66,1519.88,Online,"9072 Clifford Walks Apt. 177, Bergfurt, FL 65479",Pending,N/A,West Coast
T00030,Thomas Roberts,2024-10-15,06:35:46,gvalenzuela@yahoo.com,+1-054-001-6404x613,Headphones,3,213.81,4906.99,Credit Card,"36755 Smith Summit, Cannonburgh, UT 40632",Pending,N/A,West Coast
T00031,Matthew Terrell,2024-01-25,01:59:23,pricetoni@pratt.com,537.280.0680x9339,Headphones,5,379.91,2357.4,Cash,"076 Henderson Ramp Suite 394, Andreamouth, NH 80298",Shipped,Packaging was damaged,North East
T00032,Aaron Walters,2024-02-18,10:30:43,dana20@johnson-martin.net,005-825-5921x935,Smartphone,2,448.54,1564.62,Credit Card,"29280 Jones Streets, West Felicia, IN 31537",Shipped,Satisfied,West Coast
T00033,Eric Fox,2024-02-03,05:50:35,mitchellcody@maldonado-duncan.com,+1-629-720-5714x37873,Laptop,3,860.86,2245.6,Credit Card,"80338 Kelly Drive Suite 417, South Jeffreyside, MO 10836",Pending,Arrived on time,North East
T00034,Dana Robinson,2024-10-22,01:40:34,jessica89@yahoo.com,001-336-613-3948,Laptop,3,201.9,2102.02,Cash,"6765 Shelia Squares, Drakebury, WV 84679",Delivered,Packaging was damaged,North West
T00035,John Dodson,2024-11-05,08:22:31,zturner@yahoo.com,001-560-764-8530,Smartphone,1,443.79,1581.13,Online,"08764 Mckenzie Vista, New Cheryl, MN 56212",Shipped,N/A,South East
T00036,Jeffrey Norman,2024-03-28,19:27:48,michellemcfarland@jones-lawrence.org,(099)513-0199,Headphones,2,975.85,3588.85,Online,"6568 Richard Mountains, Port Kristy, KS 64639",Delivered,Satisfied,South East
T00037,Alan Wells,2024-08-10,09:05:05,tgallagher@parker.biz,990-331-8553,Smartphone,5,268.86,4811.16,Credit Card,"0348 Megan Circles Apt. 533, Larsonmouth, MT 34077",Pending,Packaging was damaged,West Coast
T00038,Christopher Stanton,2024-10-29,12:14:54,uharper@hotmail.com,+1-895-487-3287,Smartwatch,3,870.07,4209.3,Credit Card,"Unit 5699 Box 6216, DPO AE 42869",Delivered,N/A,North West
T00039,Kayla Rich,2024-10-18,16:48:57,anna54@holder.com,212.471.2009x30629,Laptop,4,810.47,1421.96,Cash,"PSC 1296, Box 6457, APO AP 81848",Delivered,N/A,West Coast
T00040,John Doyle,2024-09-30,16:51:32,qjacobs@yahoo.com,703.422.1595,Smartwatch,3,100.14,1381.15,Online,"28106 Natalie Coves, Greenhaven, NM 26466",Shipped,N/A,North West
T00041,Cody Hall,2024-11-04,08:51:45,david45@gmail.com,(429)569-3108,Gaming Mouse,2,622.06,497.19,Online,"USS Nelson, FPO AA 12270",Delivered,Satisfied,West Coast
T00042,Sierra Howard,2024-04-05,16:08:26,austingutierrez@lopez.com,(764)675-9495,Gaming Mouse,4,325.62,2858.99,Credit Card,"492 Smith Ville, East Jeanne, AL 70304",Pending,Great service,South
T00043,William Butler,2024-10-30,06:41:48,harrellaaron@gmail.com,681.524.9574x4322,Smartphone,1,891.73,2263.22,Credit Card,"702 Giles Parks Apt. 839, East Christina, DE 47352",Delivered,Packaging was damaged,South East
T00044,Jill Hayes,2024-11-18,11:39:03,ronaldstewart@gmail.com,637-404-5502,Smartwatch,4,421.9,1578.05,Cash,"6331 Gray Ferry Apt. 035, Escobarland, AR 85048",Delivered,Great service,West Coast
T00045,Robert Carter,2024-10-15,00:19:05,danielle82@yahoo.com,001-244-630-3109x659,Headphones,3,835.43,1026.75,Credit Card,"08879 Tammy Grove, Kimberlyburgh, AZ 79928",Shipped,Great service,North East
T00046,Patricia Burke,2024-01-18,21:07:56,pwhite@garcia.info,(907)660-4552x492,Gaming Mouse,3,541.09,3141.28,Online,"USNV Jefferson, FPO AA 71322",Delivered,N/A,South
T00047,Meghan Burns,2024-06-19,16:35:11,travis07@johnson.com,+1-861-395-2121x2369,Smartphone,5,220.13,48.2,Cash,"122 Karen Green Suite 992, Port Cynthiaburgh, LA 32359",Delivered,N/A,North West
T00048,Miss Diana Williams DDS,2024-02-08,03:40:12,cjohnson@gmail.com,001-627-302-3137,Smartwatch,4,700.36,4941.7,Online,"5951 Moore Groves Apt. 329, Anthonyside, ND 59860",Pending,N/A,South
T00049,Kelsey Salinas,2024-02-23,09:58:47,smithrachel@greene-watts.biz,585.400.9764x2515,Gaming Mouse,2,634.54,3088.94,Credit Card,"1808 Strong Dam, Lewisstad, WV 00872",Delivered,Arrived on time,South
T00050,David Ryan,2024-01-01,10:34:55,rebekah08@hotmail.com,160.501.2970,Laptop,1,761.98,1213.7,Cash,"9282 Wanda Tunnel Apt. 202, Lake Tony, VA 53085",Shipped,Satisfied,West Coast
T00051,Norma Carr,2024-06-24,19:54:20,erin02@white-west.com,(741)202-4790,Headphones,2,447.31,1384.55,Online,"8353 Kristopher Expressway, Krausebury, RI 60184",Pending,Great service,West Coast
T00052,Nicole Robinson MD,2024-01-31,22:11:49,jreese@silva-fernandez.com,(575)720-8843x5724,Gaming Mouse,1,498.87,4733.21,Cash,"113 Simon Hollow, Robertsburgh, ME 64484",Shipped,Packaging was damaged,South
